,f1,recall,precision
0.5,0.751954,0.711163,0.922425
0.6,0.746426,0.71605,0.904701
0.7,0.747276,0.702504,0.923014
0.8,0.753099,0.722143,0.908521
0.9,0.752115,0.715691,0.913441
