,f1,recall,precision
0.5,0.7581,0.722231,0.916539
0.6,0.758061,0.714512,0.928729
0.7,0.755512,0.710143,0.928756
0.8,0.760473,0.731729,0.910224
0.9,0.760304,0.729586,0.911656
