,f1,recall,precision
0.5,0.745349,0.700187,0.92299
0.6,0.748712,0.719728,0.901706
0.7,0.727715,0.679837,0.918415
0.8,0.745469,0.707077,0.912194
0.9,0.747953,0.704176,0.922249
