,f1,recall,precision
0.5,0.77718,0.763746,0.900115
0.6,0.764622,0.738881,0.910981
0.7,0.762334,0.725346,0.925027
0.8,0.771006,0.742574,0.917921
0.9,0.770161,0.742454,0.916254
