,f1,recall,precision
0.5,0.754504,0.726135,0.903717
0.6,0.757385,0.719897,0.916971
0.7,0.756016,0.719139,0.915644
0.8,0.754748,0.71114,0.925569
0.9,0.750931,0.70894,0.921425
