,f1,recall,precision
resnet50,0.757385,0.726135,0.925569
resnext50_32x4d,0.760473,0.731729,0.928756
densenet121,0.762457,0.739039,0.928803
efficientnet_b3,0.774103,0.764059,0.912719
eca_nfnet_l0,0.788663,0.771427,0.911394
