,f1,recall,precision
0.5,0.748604,0.709426,0.917312
0.6,0.750406,0.721941,0.904924
0.7,0.750959,0.714287,0.915738
0.8,0.749053,0.710697,0.916441
0.9,0.751419,0.725628,0.900707
