,f1,recall,precision
0.5,0.771322,0.758434,0.89751
0.6,0.7706,0.764059,0.889318
0.7,0.771648,0.747363,0.912719
0.8,0.770033,0.751042,0.905486
0.9,0.774103,0.758495,0.90292
